id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,score
1,5,50,18,18,39,6,28,29,1,1,40,22,48,38,34,26,100.51
2,38,12,45,41,31,32,35,34,15,3,37,21,26,20,10,13,66.21
3,33,48,25,1,13,48,33,10,26,13,28,41,54,35,12,12,56.95
4,22,1,35,44,38,43,6,10,46,53,44,7,42,44,13,16,45.71
5,22,48,23,27,20,14,37,7,37,28,7,14,36,30,7,30,-14.35
6,43,47,14,7,20,23,24,31,39,42,46,8,49,33,7,12,62.07
7,5,47,38,15,17,27,15,1,27,25,42,11,28,13,14,45,38.69
8,35,40,48,28,6,13,23,31,6,11,25,40,39,12,35,24,32.61
9,10,28,13,16,37,14,43,26,20,22,36,42,16,21,1,43,54.46
10,5,42,39,6,1,12,38,26,49,6,26,2,53,42,12,34,108.6
11,26,17,13,33,7,49,37,37,3,46,14,28,34,26,3,17,71.17
12,48,47,36,33,9,37,21,29,44,11,40,11,43,18,22,12,70.32
13,37,33,39,6,11,42,35,40,34,23,13,9,25,39,10,37,58.6
14,38,28,23,14,6,41,17,42,14,58,16,13,47,42,31,17,30.32
15,36,30,37,12,1,47,31,50,39,35,26,9,5,45,23,13,-3.34
16,39,34,14,33,27,6,29,44,42,28,42,22,7,15,31,46,54.45
17,26,3,4,36,38,44,11,28,3,33,19,44,28,35,25,24,103.31
18,7,9,5,36,5,4,12,27,6,47,25,26,40,29,18,3,85.17
19,42,15,22,46,12,24,3,13,33,16,3,32,44,22,34,25,53.26
20,23,7,45,38,20,30,7,33,49,38,6,22,24,20,19,23,43.25
21,25,26,7,16,37,18,20,8,2,52,3,1,36,6,38,43,30.8
22,19,40,23,6,28,8,22,51,33,34,4,4,30,14,39,35,25.14
23,9,39,35,31,30,10,8,46,7,27,43,12,52,27,23,10,-3.04
24,46,28,10,45,23,41,19,7,32,9,42,11,36,44,27,8,57.66
25,39,51,36,48,17,16,27,43,31,15,41,37,23,43,10,30,74.57
26,32,34,15,12,8,16,11,7,5,56,3,38,53,10,32,3,76.88
27,20,5,40,12,34,46,15,39,34,32,4,38,6,34,27,16,108.42
28,41,46,29,2,32,8,17,5,44,18,14,29,54,5,36,7,114.27
29,27,34,27,7,1,45,23,27,43,25,28,25,9,34,11,2,91.03
30,22,38,9,28,28,46,17,36,2,35,17,29,16,17,31,46,23.74
31,23,34,23,27,4,30,33,40,13,32,24,18,45,23,19,5,28.45
32,12,33,42,19,29,9,15,23,12,42,9,30,40,36,8,1,102.28
33,5,6,1,16,33,8,20,50,23,16,36,35,53,21,7,46,21.01
34,28,33,38,41,6,14,17,42,8,39,16,34,41,40,22,10,52.53
35,44,47,25,23,17,29,9,12,42,27,4,28,35,27,13,41,30.62
36,4,18,36,40,5,8,31,37,39,56,37,3,19,49,4,2,-3.1
37,43,36,33,48,23,23,11,40,40,10,45,32,1,32,17,8,28.86
38,41,2,22,16,37,6,14,19,10,9,1,17,7,15,26,6,-22.94
39,14,21,16,10,4,27,35,40,1,28,22,33,17,38,13,35,117.01
40,31,26,31,47,16,2,42,49,45,30,41,24,3,20,38,31,91.83
41,9,58,7,32,38,35,30,45,15,41,35,39,28,27,31,24,57.09
42,38,13,29,15,12,3,41,42,33,24,42,15,42,7,20,12,98.7
43,35,17,5,31,6,10,38,35,45,54,21,41,53,6,37,5,123.91
44,18,25,32,26,20,9,22,15,2,28,19,38,27,29,17,28,71.6
45,4,59,31,45,20,41,34,43,1,8,35,15,48,10,6,12,86.66
46,48,51,5,13,26,3,15,20,1,8,8,22,54,49,2,29,87.72
47,22,3,38,49,13,22,21,29,8,58,12,24,47,42,37,34,10.82
48,44,14,21,46,38,29,24,17,3,8,30,34,26,35,38,42,58.19
49,34,49,39,9,21,26,43,17,41,56,33,31,18,37,29,25,56.42
50,39,4,3,9,12,34,38,9,30,17,6,38,53,30,5,1,90.11
51,38,51,9,27,38,40,22,52,49,6,25,17,14,3,12,14,32.88
52,10,17,25,3,37,20,29,8,40,18,18,23,23,20,2,42,34.05
53,18,55,10,15,20,41,9,5,48,37,25,19,4,25,2,27,64.74
54,23,18,17,22,1,16,36,51,12,26,47,41,43,45,10,31,100.83
55,25,26,33,48,24,49,25,30,15,47,4,14,36,11,23,23,59.65
56,3,40,8,49,22,25,24,24,42,37,49,26,5,25,3,8,45.58
57,27,8,34,8,6,37,34,40,12,24,23,6,12,17,39,44,35.56
58,8,33,6,44,25,43,28,21,3,38,38,38,30,7,18,38,58.58
59,37,30,9,5,33,39,4,7,33,58,21,17,30,6,11,49,17.76
60,34,47,29,37,5,42,13,40,40,25,16,15,44,18,21,42,69.15
61,46,59,39,42,29,27,8,10,48,10,38,26,15,5,31,15,131.07
62,37,40,9,44,6,3,33,30,46,25,34,22,50,4,13,13,60.0
63,18,25,15,11,30,25,2,52,6,50,8,38,25,18,2,13,49.43
64,48,24,46,44,17,9,9,51,38,13,35,24,45,10,2,46,19.8
65,21,25,49,6,1,44,27,20,42,56,37,23,13,28,34,28,36.76
66,16,49,29,26,38,12,31,43,35,35,20,5,2,1,5,23,86.44
67,45,19,22,24,7,12,23,34,41,36,46,1,3,15,25,48,7.73
68,19,10,17,16,24,13,38,26,42,19,32,18,21,23,15,30,51.16
69,4,20,31,2,8,32,41,8,22,55,17,44,52,48,31,45,29.52
70,24,2,29,38,37,28,6,21,2,3,1,41,3,32,3,49,121.42
71,39,7,15,17,29,47,42,36,23,18,34,28,20,44,36,4,45.89
72,10,6,2,33,32,21,28,54,10,25,11,28,6,17,28,18,76.93
73,23,46,8,21,17,14,28,1,6,29,38,18,51,23,18,36,-3.92
74,7,43,47,19,19,3,5,39,7,28,26,8,37,21,9,40,-3.16
75,34,42,21,44,25,1,28,46,35,9,23,1,42,44,39,8,22.07
76,24,28,24,5,31,19,32,52,25,14,9,15,39,48,12,16,22.48
77,17,43,23,37,34,46,26,23,27,6,35,14,36,48,20,27,7.49
78,12,10,39,37,1,26,4,7,37,34,9,9,42,37,16,40,72.75
79,28,54,4,19,26,44,24,15,27,21,21,12,1,25,9,6,100.2
80,33,30,5,13,5,5,42,46,31,34,41,2,47,27,17,30,113.32
81,47,56,14,1,12,5,32,48,5,35,46,27,40,49,6,15,54.3
82,22,9,24,46,33,41,7,35,42,42,49,41,40,14,1,11,39.82
83,8,30,33,47,10,6,43,7,22,33,47,31,22,17,12,26,-4.61
84,41,42,25,12,32,3,43,7,8,39,28,20,44,44,5,21,-1.25
85,31,30,22,2,19,20,8,26,40,35,10,19,21,19,17,32,5.36
86,35,27,46,7,10,46,36,32,36,39,42,14,3,12,34,16,-2.28
87,5,10,8,4,14,34,18,2,3,37,40,7,50,28,7,41,14.78
88,16,23,29,41,21,5,27,38,10,19,49,27,13,16,1,4,67.59
89,38,15,27,44,30,42,20,30,1,15,32,25,6,44,5,43,100.69
90,41,18,24,8,24,42,35,1,14,47,7,1,34,45,20,2,45.09
91,22,41,40,37,37,40,44,6,5,21,25,19,13,15,11,37,85.54
92,40,38,14,9,34,45,35,25,35,33,22,13,47,26,20,17,91.87
93,42,36,47,18,30,12,41,40,26,12,42,8,24,49,2,19,4.02
94,19,22,17,30,24,48,42,45,49,26,20,31,1,37,13,1,124.57
95,45,57,27,36,12,16,4,24,37,32,17,24,52,11,16,35,84.21
96,15,6,26,43,17,40,12,16,30,37,4,28,28,29,17,9,95.67
97,12,21,42,3,5,29,32,53,25,32,41,32,15,31,22,33,68.76
98,34,7,22,10,15,39,26,25,3,22,38,44,37,33,31,36,7.63
99,32,20,14,14,37,31,3,18,4,57,3,36,29,2,19,42,81.2
100,7,57,2,16,17,32,5,24,31,31,22,28,2,15,33,35,118.3
