id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
101,15,16,36,31,37,14,4,24,19,3,3,14,23,37,16,27
102,37,1,3,30,1,9,33,41,21,21,23,34,6,15,11,27
103,41,55,22,10,2,34,29,25,1,2,23,14,45,42,7,36
104,16,1,30,28,32,10,33,2,30,57,13,39,46,19,34,13
105,7,33,7,26,14,46,24,12,29,43,7,34,41,41,25,17
106,44,59,15,20,21,43,35,53,46,15,3,40,34,20,8,12
107,8,35,17,37,17,49,42,54,25,12,1,5,22,6,26,15
108,30,35,33,34,16,45,26,21,23,6,24,44,30,38,17,8
109,12,23,48,27,37,12,20,44,4,28,5,28,29,2,3,2
110,7,8,41,36,4,11,5,39,10,45,48,44,9,38,18,47
111,39,34,10,38,31,17,35,51,17,35,12,16,5,3,8,4
112,8,53,1,28,35,24,40,48,19,52,32,42,14,11,10,44
113,33,6,3,14,26,44,31,34,18,21,34,26,25,30,35,1
114,34,52,30,38,16,36,39,22,20,17,25,4,9,47,28,39
115,3,25,8,36,7,32,38,34,38,29,44,19,6,21,6,17
116,9,32,12,49,27,44,36,18,7,12,6,7,47,6,34,26
117,39,10,42,8,19,32,23,19,17,58,12,42,21,12,23,14
118,25,37,43,21,6,19,5,33,8,11,13,14,32,44,35,25
119,6,11,42,46,15,21,1,31,16,29,7,10,29,36,30,23
120,49,17,13,26,38,26,9,32,34,31,15,25,40,5,14,26
